 Province ,Year,Suicide,Addiction,Alcoholism,Schizophrenia,Depression,Anxietie
Amnat Charoen ,2558,4.260985353,29.02796272,46.6045273,888.9480692,333.4221039,613.3155792
Amnat Charoen ,2559,2.925633067,44.94836258,39.09709644,1457.231234,336.1818361,625.0216098
Amnat Charoen ,2560,6.040535547,411.822394,1071.306746,1278.106257,439.5377924,804.101879
Ang Thong ,2558,5.649617768,11.29923554,9.533729984,644.4095267,995.7451316,1014.812592
Ang Thong ,2559,6.372854472,22.65903812,13.09975642,1518.863649,1004.078627,1020.010763
Ang Thong ,2560,6.368767564,181.7752409,410.7855079,632.365546,772.4784324,649.8796568
Bangkok,2558,1.752529396,16.76409432,11.66582699,202.6384242,59.4266786,64.20630422
Bangkok,2559,2.625528388,57.01147356,35.27495623,402.8667912,117.5415124,105.6819828
Bangkok,2560,2.738833436,28.37288233,53.54150854,333.4037434,115.7112375,95.98447636
Bueng Kan ,2558,6.438873626,1.430860806,2.146291209,515.8253205,338.1601038,319.5589133
Bueng Kan ,2559,8.32201935,38.75683297,34.95248127,1123.23484,355.9446562,337.8739856
Bueng Kan ,2560,7.350482879,225.4938457,648.2651675,786.7387804,374.6375145,310.8542921
Buriram ,2558,5.755129971,116.2409768,113.9009789,866.4948982,488.2373997,458.5131021
Buriram ,2559,7.004281446,105.9476446,116.6749225,662.7564687,486.2611966,457.5499528
Buriram ,2560,6.233150033,658.3213812,598.1305587,821.0128932,494.6224915,384.188702
Chachoengsao ,2558,5.740223323,10.76291873,6.744762405,559.2412573,345.7049497,387.6085799
Chachoengsao ,2559,6.859082998,20.29145387,22.00622462,547.1547666,348.9558475,387.9668821
Chachoengsao ,2560,5.397972635,213.6460748,361.0959589,680.4286558,473.6010728,348.8794945
Chainat ,2558,9.945270873,43.69891747,58.7675097,791.7038359,666.3331485,1545.434819
Chainat ,2559,5.44247306,43.53978448,71.05450939,1416.554794,676.9831767,1550.500103
Chainat ,2560,7.557961214,74.5250129,556.2132154,240.5365098,185.1700497,409.0966215
Chaiyaphum ,2558,5.539737504,47.13173496,44.75756174,688.334368,512.2938206,673.0341406
Chaiyaphum ,2559,6.594125426,70.68902456,53.10469009,639.4543229,520.0566919,683.6789241
Chaiyaphum ,2560,4.326075216,315.7358958,510.2740907,632.5533104,372.5832279,442.0708111
Chanthaburi ,2558,7.575269774,27.83911642,107.1900673,1263.554998,428.5708875,588.977225
Chanthaburi ,2559,14.35774591,315.4925746,153.0233446,789.1092719,431.4880481,591.6902656
Chanthaburi ,2560,10.92659401,294.6412592,439.1360455,775.9765643,368.301574,478.6978514
Chiang Mai ,2558,15.1198012,200.0206102,187.0969813,939.2859737,633.5956914,702.0149036
Chiang Mai ,2559,14.19847052,13.6821625,23.31991219,745.6348308,654.5064655,716.2913251
Chiang Mai ,2560,11.40201001,399.1560798,763.5917532,882.069782,686.9496708,579.1020874
Chiang Rai ,2558,12.56878512,74.25345382,142.9546773,692.6864924,635.6388512,927.7715849
Chiang Rai ,2559,13.97642352,70.31888084,142.7591831,615.6489771,700.817808,968.4288815
Chiang Rai ,2560,11.17721537,1140.200159,1387.527097,723.600504,807.4917149,890.141013
Chonburi ,2558,3.982939046,28.57933456,25.01565225,379.4972273,161.134341,418.4881043
Chonburi ,2559,4.470245018,34.38650014,26.6151511,474.9463399,164.5737896,414.7011916
Chonburi ,2560,6.368460955,492.4943139,1132.97953,1931.46323,864.5943897,1561.182714
Chumphon ,2558,9.174751085,2.193962216,2.193962216,438.1940899,132.4355374,506.4063697
Chumphon ,2559,5.170363477,120.3103809,59.65804011,1011.6015,176.7866589,568.3422622
Chumphon ,2560,9.911097456,215.4672587,587.3316352,743.3323092,261.4547509,594.6658473
Kalasin ,2558,6.1944656,70.37319117,46.61081493,839.5024118,368.2152831,846.7123635
