 จังหวัด ,ฆ่าตัวตาย,ติดสารเสพติด,ติดแอลกอฮอล์,จิดเภท,ซึมเศร้า,วิตกกังวล,หย่า,คนจน,,,,,,,,,,,,
 กระบี่ ,0.060536352,0.955609558,0.458346666,10.94626966,2.432264146,5.348819109,1.530704903,23.7,,,,,,,,,,,,
 กรุงเทพมหานคร ,0.026255284,0.570114736,0.352749562,4.028667912,1.175415124,1.056819828,2.87218517,118.0,,,,,,,,,,,,
 กาญจนบุรี ,0.077905793,0.58985815,0.281944776,6.771621022,3.288119119,3.237418524,1.52349107,112.7,,,,,,,,,,,,
 กาฬสินธุ์ ,0.067033727,1.146682999,0.700807147,6.194525782,3.813812807,8.627037546,1.314267316,259.3,,,,,,,,,,,,
 กำแพงเพชร ,0.113898655,0.658691016,0.537930997,6.247958744,6.184834188,6.54848652,1.491660697,15.8,,,,,,,,,,,,
 ขอนแก่น ,0.047851256,1.239681377,1.853401557,7.313452435,2.996824012,11.9789499,1.68981703,168.3,,,,,,,,,,,,
 จันทบุรี ,0.143577459,3.154925746,1.530233446,7.891092719,4.314880481,5.916902656,1.530233446,19.8,,,,,,,,,,,,
 ฉะเชิงเทรา ,0.06859083,0.202914539,0.220062246,5.471547666,3.489558475,3.879668821,2.359238756,35.6,,,,,,,,,,,,
 ชลบุรี ,0.04470245,0.343865001,0.266151511,4.749463399,1.645737896,4.147011916,4.283182457,0.5,,,,,,,,,,,,
 ชัยนาท ,0.054424731,0.435397845,0.710545094,14.16554794,6.769831767,15.50500103,1.569246399,88.9,,,,,,,,,,,,
 ชัยภูมิ ,0.065941254,0.706890246,0.531046901,6.394543229,5.200566919,6.836789241,1.332892553,54.8,,,,,,,,,,,,
 ชุมพร ,0.051703635,1.203103809,0.596580401,10.116015,1.767866589,5.683422622,1.720140157,26.2,,,,,,,,,,,,
 เชียงราย ,0.141984705,0.136821625,0.233199122,7.456348308,6.545064655,7.162913251,1.732213404,181.3,,,,,,,,,,,,
 เชียงใหม่ ,0.139764235,0.703188808,1.427591831,6.156489771,7.00817808,9.684288815,1.976041665,114.1,,,,,,,,,,,,
